,offer_id,product_id,category,cents_required,allows_multitransaction,start_date,end_date,duration,brands
17656,01G5PWX9YS3ZTZ87EEVY70KVX6,4899226240041671261,BABY,,False,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,61,1762597501371776412
10620,01G7WH06537QAZM4T1DXAYKV0M,1941647917893097381,PERSONAL_CARE,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13774051611309538603
27450,01GAHCYYR8VR7KC4R03SZS2Y7E,6865308734032154080,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,16209527524158134138
30688,01GAP87DXVP527JNEGTSJ0FBX3,10418096192768067372,BABY,6000.0,True,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,1762597501371776412
12765,01G5EYJZCDTXN8C5J4MAEK3X5A,8414116070997053836,HOUSEHOLD,,True,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,62,11021339065701790727
38021,01GARX6YVNNT87VR1FFPQJ1RD7,8340108288079824155,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,13388685157089796813
27796,01GAKVVVMF0J88EKMDBG8WPQFD,9299776805454554547,HOUSEHOLD,500.0,True,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,11021339065701790727
45967,01G54M5YD95F4QRDWNQTM88SAK,11572747842514156827,BABY,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,16209527524158134138
21028,01G5S2P2A6RAFQ5TXHWB74FP3P,12455080198370694364,BABY,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,13388685157089796813
27269,01GAHAR3T68YKXRKPMYGPZ654V,3940445626279476713,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,16209527524158134138
7837,01G7WBY8GCWVRH11TWDWDAD3CY,7460523076918198432,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
26701,01GA9F4QJGA6QG2D7EJWC99RFS,16748498786652786666,PERSONAL_CARE,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,6966397462150644289
44838,01G52SZBG4PHBZSYBHSV6VYB82,8479001198395862325,PERSONAL_CARE,2000.0,True,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,1279604269096745345
44647,01G52SPGG3CGBXQSBA991PDC24,9331503429956516982,PERSONAL_CARE,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,13774051611309538603
9422,01G7WETYEFZ5NX6B4YVCAQ2PN8,11572747842514156827,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,16209527524158134138
2779,01G7D4PNYVFFP2H1X2ST5HGRV4,18310049991305746266,HOUSEHOLD,500.0,True,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,11021339065701790727
4406,01G7W3TCRX5EYH17HFT0YW2VNY,2554151353966733250,BABY,6000.0,True,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,1762597501371776412
27517,01GAHDXS0424R8WYGPTVHCM6M1,15793834199631748627,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,16209527524158134138
19762,01G5QCGAC6581YEZ9NG4DW7DC9,1088939766661688703,HOUSEHOLD,1000.0,True,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,62,11021339065701790727
25332,01GA6N52A0PD6Z6ZJ00YZV8JZ5,15141805708086537501,PERSONAL_CARE,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,60,13774051611309538603
5559,01G7W4GJD20PRHQE66HFBVEXZ2,17336877343152640254,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,40,13388685157089796813
8391,01G7WC4W8P6PXNZBZMRTXJR2H7,6064750625405988484,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
35157,01GAPJXZCWDVC9685HYRGXWDJD,4451093118154639668,HOUSEHOLD,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,11021339065701790727
26195,01GA97JH4KVGWAECFVF7DPJN2R,7116418578676424003,PERSONAL_CARE,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,6966397462150644289
8639,01G7WC4W8P6PXNZBZMRTXJR2H7,9963193077591207483,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
43124,01G52RJKW6W8797K1AQTVY8KRH,15891111583284639840,PERSONAL_CARE,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,60,13774051611309538603
46741,01G5EMZP9YTZXG77J15RT1B6SB,5019236929012795863,HOUSEHOLD,3000.0,True,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,62,11548329967324919662
46795,01G5EMZP9YTZXG77J15RT1B6SB,17347660886534234798,HOUSEHOLD,3000.0,True,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,62,11548329967324919662
33538,01GAPAMA1DZGADHCR438PXWQSB,11575422534419891797,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,1762597501371776412
18447,01G5Q6ZJHHWYV8AAQWB77X6BG7,17049765351284980343,HOUSEHOLD,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,3447117117351085285
16179,01G5PWD1B0124QR8E3XW9Z4ZAK,5589592876936197666,BABY,,False,2022-07-01 00:00:00.000,2022-08-31 23:59:59.999,61,1762597501371776412
43665,01G52RZR25VB5WAP7JHPKNZNBC,12507371667022855004,PERSONAL_CARE,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,13774051611309538603
6583,01G7W5TD65VZXFNBG3QF018PY7,3766204713717192828,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
6422,01G7W5M5NS8D7BD0H8SGAESHMN,16517529064751113158,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
42208,01G52R794TQ4903FMBZJSKTBTP,13391146315548395099,PERSONAL_CARE,2000.0,True,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,13774051611309538603
41189,01G52Q236FFFD05YQQJ876M5Z6,18203132282163738472,PERSONAL_CARE,,False,2022-07-01 00:00:00.000,2022-08-01 23:59:59.999,30,6966397462150644289
18651,01G5Q6ZJHHWYV8AAQWB77X6BG7,13663807880347436956,HOUSEHOLD,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,3447117117351085285
20085,01G5QDEZ7CP0BKTKRCS0JT3VNB,10402096713824537272,HOUSEHOLD,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,11021339065701790727
15286,01G5PW8MQYBT5Z12S486D8B0DX,12803273631308613931,BABY,6000.0,True,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,1762597501371776412
4444,01G7W3TCRX5EYH17HFT0YW2VNY,1924549706167426144,BABY,6000.0,True,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,1762597501371776412
40801,01GAS5A9Q15JJXNYC0A3QSD328,13412485431833855629,HOUSEHOLD,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,3447117117351085285
22976,01G5S56GABX4HRVW6G3ERPJBDY,5352109913706831000,BABY,,False,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,13388685157089796813
24982,01G8XK7TZA0131NW7BB95M8CV8,12775472830880691588,PERSONAL_CARE,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,1279604269096745345
4545,01G7W3TCRX5EYH17HFT0YW2VNY,4592058528904170608,BABY,6000.0,True,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,1762597501371776412
8223,01G7WBY8GCWVRH11TWDWDAD3CY,11049134751905001859,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
35786,01GAPX6RJE80ZY4Z87WGXKSDEC,11465474323875125838,BABY,,False,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,13388685157089796813
8854,01G7WCJGX8ZVWAJ5P7QSJS556Z,11930174394304325157,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,16209527524158134138
5761,01G7W4WWWA5NB1EY6RSECXZ3E5,7349716546129684409,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,40,13388685157089796813
8348,01G7WC4W8P6PXNZBZMRTXJR2H7,3251003991025278828,BABY,,False,2022-08-01 00:00:00.000,2022-08-31 23:59:59.999,31,13388685157089796813
27688,01GAKVCN06X59714FD4TSGS7AE,12049694272212947729,HOUSEHOLD,500.0,True,2022-09-01 00:00:00.000,2022-09-30 23:59:59.999,30,11021339065701790727
14632,01G5PW8MQYBT5Z12S486D8B0DX,16479374834370393482,BABY,6000.0,True,2022-07-01 00:00:00.000,2022-07-31 23:59:59.999,31,1762597501371776412
